Book Name,Author,Rating,Reviews,Price
THE SILENT PATIENT,THE SILENT PATIENT,4.6 out of 5 stars,"232,390",₹254.00
The Adventures of Tom Sawyer by Mark Twain: Classic American Literature | Tom Sawyer's Mischievous Exploits | Childhood Freedom | | Timeless Coming-of-Age Tale | Southern Charm | Endearing Characters | Nostalgic Americana,The Adventures of Tom Sawyer by Mark Twain: Classic American Literature | Tom Sawyer's Mischievous Exploits | Childhood Freedom | | Timeless Coming-of-Age Tale | Southern Charm | Endearing Characters | Nostalgic Americana,4.4 out of 5 stars,"6,558",₹187.00
"Angels and Demons: Robert Langdon Book 1 | International Bestseller Mystery Thriller Novel of Conspiracy, Ancient Secrets, Vatican City, and the Illuminati by Dan Brown","Angels and Demons: Robert Langdon Book 1 | International Bestseller Mystery Thriller Novel of Conspiracy, Ancient Secrets, Vatican City, and the Illuminati by Dan Brown",4.6 out of 5 stars,"21,862",₹320.00
Moby Dick (AmazonClassics Edition),Moby Dick (AmazonClassics Edition),4.3 out of 5 stars,"13,010",₹75.05
Robinson Crusoe,Robinson Crusoe,4.4 out of 5 stars,"5,566",₹159.00
Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,4.7 out of 5 stars,"129,720",₹313.95
A Game of Thrones (Reissue): Book 1 (A Song of Ice and Fire),A Game of Thrones (Reissue): Book 1 (A Song of Ice and Fire),4.6 out of 5 stars,"76,454",₹469.00
The Nightingale,The Nightingale,4.6 out of 5 stars,"371,012",₹378.00
"Origin: Robert Langdon Book 5 | Bestselling Techno-Thriller Mystery Novel of Science, Religion, Artificial Intelligence, and a World-Changing Discovery by Dan Brown","Origin: Robert Langdon Book 5 | Bestselling Techno-Thriller Mystery Novel of Science, Religion, Artificial Intelligence, and a World-Changing Discovery by Dan Brown",4.2 out of 5 stars,"140,388",₹386.00
Twenty Thousand Leagues Under the Sea (AmazonClassics Edition),Twenty Thousand Leagues Under the Sea (AmazonClassics Edition),4.5 out of 5 stars,"5,348",₹51.45
"Three Musketeers, The","Three Musketeers, The",4.4 out of 5 stars,"4,241",₹354.88
The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,4.4 out of 5 stars,"10,604",₹179.00
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,4.7 out of 5 stars,"105,426",₹313.95
A Long Petal of the Sea: The Sunday Times Bestseller (High/Low),A Long Petal of the Sea: The Sunday Times Bestseller (High/Low),4.4 out of 5 stars,"26,366",₹457.32
Catch-22,Catch-22,4.4 out of 5 stars,"13,524",₹351.00
A Song of Ice and Fire - A Game of Thrones: The Complete Boxset of 7 Books,A Song of Ice and Fire - A Game of Thrones: The Complete Boxset of 7 Books,4.6 out of 5 stars,"10,168","₹2,602.00"
SALMAN RUSHDIE,SALMAN RUSHDIE,4.4 out of 5 stars,"6,488", 
SIX OF CROWS: CROOKED KINGDOM (B PB),SIX OF CROWS: CROOKED KINGDOM (B PB),4.7 out of 5 stars,"41,304",₹361.00
WHERE THE CRAWDADS SING,WHERE THE CRAWDADS SING,4.5 out of 5 stars,"513,202",₹361.00
Treasure Island (AmazonClassics Edition),Treasure Island (AmazonClassics Edition),4.3 out of 5 stars,"32,814",₹90.25
The Complete Novels of Sherlock Holmes,The Complete Novels of Sherlock Holmes,4.4 out of 5 stars,"21,854",₹239.00
The Book Thief: TikTok made me buy it! The life-affirming international bestseller,The Book Thief: TikTok made me buy it! The life-affirming international bestseller,4.6 out of 5 stars,"30,894",₹280.01
SHANTARAM,SHANTARAM,4.5 out of 5 stars,"36,217",₹449.00
The Hobbit: The Classic Bestselling Fantasy Novel,The Hobbit: The Classic Bestselling Fantasy Novel,4.6 out of 5 stars,"72,372",₹257.34
Curious Incident of the Dog in the Night,Curious Incident of the Dog in the Night,4.2 out of 5 stars,"34,458",₹296.00
Tale of Two Cities,Tale of Two Cities,4.2 out of 5 stars,"33,735",₹275.00
Around The World In Eighty Days,Around The World In Eighty Days,4.3 out of 5 stars,"17,574",₹149.00
The Call of the Wild (AmazonClassics Edition),The Call of the Wild (AmazonClassics Edition),4.4 out of 5 stars,"11,223",₹103.55
"The Da Vinci Code: Robert Langdon Book 2 | Worldwide Bestselling Mystery Thriller Novel of Murder, Art, History, and the Holy Grail by Dan Brown","The Da Vinci Code: Robert Langdon Book 2 | Worldwide Bestselling Mystery Thriller Novel of Murder, Art, History, and the Holy Grail by Dan Brown",4.6 out of 5 stars,"2,954",₹342.00
The Greatest Short Stories of Leo Tolstoy : Collectable Edition,The Greatest Short Stories of Leo Tolstoy : Collectable Edition,4.5 out of 5 stars,"3,784",₹329.00
